Country Name,Country Code,Indicator Name,GDP,Year
IDA blend,IDB,GDP (current US$),1.47E+11,1992
Indonesia,IDN,GDP (current US$),1.28E+11,1992
IDA only,IDX,GDP (current US$),1.87E+11,1992
Isle of Man,IMN,GDP (current US$),,1992
India,IND,GDP (current US$),2.88E+11,1992
Not classified,INX,GDP (current US$),,1992
Ireland,IRL,GDP (current US$),55985504489,1992
"Iran, Islamic Rep.",IRN,GDP (current US$),,1992
Iraq,IRQ,GDP (current US$),,1992
Iceland,ISL,GDP (current US$),7091625416,1992
Israel,ISR,GDP (current US$),75870773860,1992
Italy,ITA,GDP (current US$),1.32E+12,1992
Jamaica,JAM,GDP (current US$),3530892749,1992
Jordan,JOR,GDP (current US$),5311329067,1992
Japan,JPN,GDP (current US$),3.91E+12,1992
Kazakhstan,KAZ,GDP (current US$),24906939560,1992
Kenya,KEN,GDP (current US$),8209129172,1992
Kyrgyz Republic,KGZ,GDP (current US$),2316562500,1992
Cambodia,KHM,GDP (current US$),,1992
Kiribati,KIR,GDP (current US$),47737955.35,1992
St. Kitts and Nevis,KNA,GDP (current US$),242137037,1992
"Korea, Rep.",KOR,GDP (current US$),3.56E+11,1992
Kuwait,KWT,GDP (current US$),19858555215,1992
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),1.25E+12,1992
Lao PDR,LAO,GDP (current US$),1127806945,1992
Lebanon,LBN,GDP (current US$),5843579161,1992
Liberia,LBR,GDP (current US$),,1992
Libya,LBY,GDP (current US$),33881392045,1992
St. Lucia,LCA,GDP (current US$),674074074.1,1992
Latin America & Caribbean,LCN,GDP (current US$),1.37E+12,1992
Least developed countries: UN classification,LDC,GDP (current US$),1.50E+11,1992
Low income,LIC,GDP (current US$),96329680353,1992
Liechtenstein,LIE,GDP (current US$),1631197909,1992
Sri Lanka,LKA,GDP (current US$),9703011636,1992
Lower middle income,LMC,GDP (current US$),8.38E+11,1992
Low & middle income,LMY,GDP (current US$),3.86E+12,1992
Lesotho,LSO,GDP (current US$),831033941.1,1992
Late-demographic dividend,LTE,GDP (current US$),2.09E+12,1992
Lithuania,LTU,GDP (current US$),,1992
Luxembourg,LUX,GDP (current US$),16065740276,1992
Latvia,LVA,GDP (current US$),,1992
"Macao SAR, China",MAC,GDP (current US$),4879018602,1992
St. Martin (French part),MAF,GDP (current US$),,1992
Morocco,MAR,GDP (current US$),33711069431,1992
Monaco,MCO,GDP (current US$),2737067002,1992
Moldova,MDA,GDP (current US$),,1992
Madagascar,MDG,GDP (current US$),3714967007,1992
Maldives,MDV,GDP (current US$),284853358.6,1992
Middle East & North Africa,MEA,GDP (current US$),6.04E+11,1992
Mexico,MEX,GDP (current US$),3.63E+11,1992
Marshall Islands,MHL,GDP (current US$),91063000,1992
Middle income,MIC,GDP (current US$),3.77E+12,1992
North Macedonia,MKD,GDP (current US$),2436849342,1992
Mali,MLI,GDP (current US$),2830673389,1992
Malta,MLT,GDP (current US$),3021910217,1992
Myanmar,MMR,GDP (current US$),,1992
Middle East & North Africa (excluding high income),MNA,GDP (current US$),,1992
Montenegro,MNE,GDP (current US$),,1992
Mongolia,MNG,GDP (current US$),1317611864,1992
Northern Mariana Islands,MNP,GDP (current US$),,1992
Mozambique,MOZ,GDP (current US$),2588625093,1992
Mauritania,MRT,GDP (current US$),2164292208,1992
Mauritius,MUS,GDP (current US$),3224267548,1992
Malawi,MWI,GDP (current US$),1799517082,1992
Malaysia,MYS,GDP (current US$),59167550163,1992
North America,NAC,GDP (current US$),7.11E+12,1992
Namibia,NAM,GDP (current US$),3424733520,1992
New Caledonia,NCL,GDP (current US$),2923764926,1992
Niger,NER,GDP (current US$),3386232592,1992
Nigeria,NGA,GDP (current US$),47794925815,1992
Nicaragua,NIC,GDP (current US$),1792800000,1992
Netherlands,NLD,GDP (current US$),3.63E+11,1992
Norway,NOR,GDP (current US$),1.31E+11,1992
Nepal,NPL,GDP (current US$),3401211581,1992
Nauru,NRU,GDP (current US$),,1992
New Zealand,NZL,GDP (current US$),41649829860,1992
OECD members,OED,GDP (current US$),2.14E+13,1992
Oman,OMN,GDP (current US$),12452275683,1992
Other small states,OSS,GDP (current US$),61461105759,1992
Pakistan,PAK,GDP (current US$),48884606848,1992
Panama,PAN,GDP (current US$),8042337700,1992
Peru,PER,GDP (current US$),35966302303,1992
Philippines,PHL,GDP (current US$),52976344929,1992
Palau,PLW,GDP (current US$),,1992
Papua New Guinea,PNG,GDP (current US$),4377980510,1992
Poland,POL,GDP (current US$),94337050693,1992
Pre-demographic dividend,PRE,GDP (current US$),1.79E+11,1992
Puerto Rico,PRI,GDP (current US$),34630430000,1992
"Korea, Dem. People’s Rep.",PRK,GDP (current US$),,1992
Portugal,PRT,GDP (current US$),1.08E+11,1992
Paraguay,PRY,GDP (current US$),7157424031,1992
West Bank and Gaza,PSE,GDP (current US$),,1992
Pacific island small states,PSS,GDP (current US$),2732727733,1992
Post-demographic dividend,PST,GDP (current US$),2.08E+13,1992
French Polynesia,PYF,GDP (current US$),3558215110,1992
Qatar,QAT,GDP (current US$),7646153984,1992
Romania,ROU,GDP (current US$),25121666667,1992
Russian Federation,RUS,GDP (current US$),4.60E+11,1992
Rwanda,RWA,GDP (current US$),2029026704,1992
South Asia,SAS,GDP (current US$),3.85E+11,1992
Saudi Arabia,SAU,GDP (current US$),1.37E+11,1992
Sudan,SDN,GDP (current US$),7034219713,1992
Senegal,SEN,GDP (current US$),7602005274,1992
Singapore,SGP,GDP (current US$),52130263966,1992
Solomon Islands,SLB,GDP (current US$),260578532.2,1992
Sierra Leone,SLE,GDP (current US$),679997997.6,1992
El Salvador,SLV,GDP (current US$),5813399300,1992
San Marino,SMR,GDP (current US$),,1992
Somalia,SOM,GDP (current US$),,1992
Serbia,SRB,GDP (current US$),,1992
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),3.37E+11,1992
South Sudan,SSD,GDP (current US$),,1992
Sub-Saharan Africa,SSF,GDP (current US$),3.40E+11,1992
Small states,SST,GDP (current US$),81459878590,1992
Sao Tome and Principe,STP,GDP (current US$),,1992
Suriname,SUR,GDP (current US$),404600000,1992
Slovak Republic,SVK,GDP (current US$),15495514297,1992
Slovenia,SVN,GDP (current US$),13101055425,1992
Sweden,SWE,GDP (current US$),2.84E+11,1992
Eswatini,SWZ,GDP (current US$),1284766234,1992
Sint Maarten (Dutch part),SXM,GDP (current US$),,1992
Seychelles,SYC,GDP (current US$),433667193.8,1992
Syrian Arab Republic,SYR,GDP (current US$),13253565899,1992
Turks and Caicos Islands,TCA,GDP (current US$),,1992
Chad,TCD,GDP (current US$),1881847677,1992
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),8.05E+11,1992
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),9.44E+11,1992
Togo,TGO,GDP (current US$),1692959110,1992
Thailand,THA,GDP (current US$),1.11E+11,1992
Tajikistan,TJK,GDP (current US$),1909246641,1992
Turkmenistan,TKM,GDP (current US$),3200539816,1992
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),1.30E+12,1992
Timor-Leste,TLS,GDP (current US$),,1992
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),,1992
Tonga,TON,GDP (current US$),137066290.6,1992
South Asia (IDA & IBRD),TSA,GDP (current US$),3.85E+11,1992
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),3.40E+11,1992
Trinidad and Tobago,TTO,GDP (current US$),5439552941,1992
Tunisia,TUN,GDP (current US$),15497286296,1992
Turkey,TUR,GDP (current US$),1.58E+11,1992
Tuvalu,TUV,GDP (current US$),9742949.471,1992
Tanzania,TZA,GDP (current US$),4601413264,1992
Uganda,UGA,GDP (current US$),2857457860,1992
Ukraine,UKR,GDP (current US$),73942235330,1992
Upper middle income,UMC,GDP (current US$),2.93E+12,1992
Uruguay,URY,GDP (current US$),12878199881,1992
United States,USA,GDP (current US$),6.52E+12,1992
Uzbekistan,UZB,GDP (current US$),12941297376,1992
St. Vincent and the Grenadines,VCT,GDP (current US$),277954111.1,1992
"Venezuela, RB",VEN,GDP (current US$),60401798246,1992
British Virgin Islands,VGB,GDP (current US$),,1992
Virgin Islands (U.S.),VIR,GDP (current US$),,1992
Vietnam,VNM,GDP (current US$),9866990236,1992
Vanuatu,VUT,GDP (current US$),209088824.6,1992
World,WLD,GDP (current US$),2.55E+13,1992
Samoa,WSM,GDP (current US$),132303041.4,1992
Kosovo,XKX,GDP (current US$),,1992
"Yemen, Rep.",YEM,GDP (current US$),6463649985,1992
South Africa,ZAF,GDP (current US$),1.35E+11,1992
Zambia,ZMB,GDP (current US$),3181921788,1992
Zimbabwe,ZWE,GDP (current US$),6751472200,1992
Aruba,ABW,GDP (current US$),1082979721,1993
Afghanistan,AFG,GDP (current US$),,1993
Angola,AGO,GDP (current US$),5768720422,1993
Albania,ALB,GDP (current US$),1185315468,1993
Andorra,AND,GDP (current US$),1007025755,1993
Arab World,ARB,GDP (current US$),4.78E+11,1993
United Arab Emirates,ARE,GDP (current US$),55625170253,1993
Argentina,ARG,GDP (current US$),2.37E+11,1993
Armenia,ARM,GDP (current US$),1201313201,1993
American Samoa,ASM,GDP (current US$),,1993
Antigua and Barbuda,ATG,GDP (current US$),535174074.1,1993
Australia,AUS,GDP (current US$),3.12E+11,1993
Austria,AUT,GDP (current US$),1.90E+11,1993
Azerbaijan,AZE,GDP (current US$),3970953396,1993
Burundi,BDI,GDP (current US$),938632612,1993
Belgium,BEL,GDP (current US$),2.25E+11,1993
Benin,BEN,GDP (current US$),2274557914,1993
Burkina Faso,BFA,GDP (current US$),2332018011,1993
Bangladesh,BGD,GDP (current US$),33166519418,1993
Bulgaria,BGR,GDP (current US$),10829710145,1993
Bahrain,BHR,GDP (current US$),5200265957,1993
"Bahamas, The",BHS,GDP (current US$),3092000000,1993
Bosnia and Herzegovina,BIH,GDP (current US$),,1993
Belarus,BLR,GDP (current US$),16280991736,1993
Belize,BLZ,GDP (current US$),559858250,1993
Bermuda,BMU,GDP (current US$),1820359900,1993
Bolivia,BOL,GDP (current US$),5734676561,1993
Brazil,BRA,GDP (current US$),4.38E+11,1993
Barbados,BRB,GDP (current US$),2063342117,1993
Brunei Darussalam,BRN,GDP (current US$),4105706152,1993
Bhutan,BTN,GDP (current US$),235239570.4,1993
Botswana,BWA,GDP (current US$),4160086253,1993
Central African Republic,CAF,GDP (current US$),1278781167,1993
Canada,CAN,GDP (current US$),5.77E+11,1993
Central Europe and the Baltics,CEB,GDP (current US$),2.73E+11,1993
Switzerland,CHE,GDP (current US$),2.64E+11,1993
Channel Islands,CHI,GDP (current US$),,1993
Chile,CHL,GDP (current US$),49297773130,1993
China,CHN,GDP (current US$),4.45E+11,1993
Cote d'Ivoire,CIV,GDP (current US$),11045759469,1993
Cameroon,CMR,GDP (current US$),15498179313,1993
"Congo, Dem. Rep.",COD,GDP (current US$),10706259937,1993
"Congo, Rep.",COG,GDP (current US$),1918970032,1993
Colombia,COL,GDP (current US$),66446804803,1993
Comoros,COM,GDP (current US$),452881443.1,1993
Cabo Verde,CPV,GDP (current US$),490417389.7,1993
Costa Rica,CRI,GDP (current US$),9537297723,1993
Caribbean small states,CSS,GDP (current US$),18998044580,1993
Cuba,CUB,GDP (current US$),22367254865,1993
Curacao,CUW,GDP (current US$),,1993
Cayman Islands,CYM,GDP (current US$),,1993
Cyprus,CYP,GDP (current US$),6590291048,1993
Czech Republic,CZE,GDP (current US$),40866748705,1993
Germany,DEU,GDP (current US$),2.07E+12,1993
Djibouti,DJI,GDP (current US$),466048469.2,1993
Dominica,DMA,GDP (current US$),245527592.6,1993
Denmark,DNK,GDP (current US$),1.43E+11,1993
Dominican Republic,DOM,GDP (current US$),13081042396,1993
Algeria,DZA,GDP (current US$),49946455211,1993
East Asia & Pacific (excluding high income),EAP,GDP (current US$),8.85E+11,1993
Early-demographic dividend,EAR,GDP (current US$),2.32E+12,1993
East Asia & Pacific,EAS,GDP (current US$),6.54E+12,1993
Europe & Central Asia (excluding high income),ECA,GDP (current US$),7.88E+11,1993
Europe & Central Asia,ECS,GDP (current US$),8.99E+12,1993
Ecuador,ECU,GDP (current US$),18938717359,1993
"Egypt, Arab Rep.",EGY,GDP (current US$),46578631453,1993
Euro area,EMU,GDP (current US$),6.17E+12,1993
Eritrea,ERI,GDP (current US$),467872714.8,1993
Spain,ESP,GDP (current US$),5.25E+11,1993
Estonia,EST,GDP (current US$),4006983329,1993
Ethiopia,ETH,GDP (current US$),8830712714,1993
European Union,EUU,GDP (current US$),6.76E+12,1993
Fragile and conflict affected situations,FCS,GDP (current US$),2.49E+11,1993
Finland,FIN,GDP (current US$),89214114708,1993
Fiji,FJI,GDP (current US$),1635426125,1993
France,FRA,GDP (current US$),1.32E+12,1993
Faroe Islands,FRO,GDP (current US$),,1993
"Micronesia, Fed. Sts.",FSM,GDP (current US$),198400000,1993
Gabon,GAB,GDP (current US$),4378645081,1993
United Kingdom,GBR,GDP (current US$),1.06E+12,1993
Georgia,GEO,GDP (current US$),2701181331,1993
Ghana,GHA,GDP (current US$),5966255778,1993
Gibraltar,GIB,GDP (current US$),,1993
Guinea,GIN,GDP (current US$),3279063318,1993
"Gambia, The",GMB,GDP (current US$),755042548.1,1993
Guinea-Bissau,GNB,GDP (current US$),236880821.7,1993
Equatorial Guinea,GNQ,GDP (current US$),136047896.2,1993
Greece,GRC,GDP (current US$),1.09E+11,1993
Grenada,GRD,GDP (current US$),309812185.2,1993
Greenland,GRL,GDP (current US$),927219728.9,1993
Guatemala,GTM,GDP (current US$),11399942453,1993
Guam,GUM,GDP (current US$),,1993
Guyana,GUY,GDP (current US$),454101382.5,1993
High income,HIC,GDP (current US$),2.17E+13,1993
"Hong Kong SAR, China",HKG,GDP (current US$),1.20E+11,1993
Honduras,HND,GDP (current US$),4926728933,1993
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),1.33E+11,1993
Croatia,HRV,GDP (current US$),,1993
Haiti,HTI,GDP (current US$),1878248741,1993
Hungary,HUN,GDP (current US$),40124916941,1993
IBRD only,IBD,GDP (current US$),3.98E+12,1993
IDA & IBRD total,IBT,GDP (current US$),4.30E+12,1993
IDA total,IDA,GDP (current US$),3.20E+11,1993
IDA blend,IDB,GDP (current US$),1.31E+11,1993
Indonesia,IDN,GDP (current US$),1.58E+11,1993
IDA only,IDX,GDP (current US$),1.88E+11,1993
Isle of Man,IMN,GDP (current US$),,1993
India,IND,GDP (current US$),2.79E+11,1993
Not classified,INX,GDP (current US$),,1993
Ireland,IRL,GDP (current US$),52480251192,1993
"Iran, Islamic Rep.",IRN,GDP (current US$),63743623232,1993
Iraq,IRQ,GDP (current US$),,1993
Iceland,ISL,GDP (current US$),6227928900,1993
Israel,ISR,GDP (current US$),76250990071,1993
Italy,ITA,GDP (current US$),1.06E+12,1993
Jamaica,JAM,GDP (current US$),5405097571,1993
Jordan,JOR,GDP (current US$),5605841536,1993
Japan,JPN,GDP (current US$),4.45E+12,1993
Kazakhstan,KAZ,GDP (current US$),23409027476,1993
Kenya,KEN,GDP (current US$),5751789915,1993
Kyrgyz Republic,KGZ,GDP (current US$),2028295455,1993
Cambodia,KHM,GDP (current US$),2533727592,1993
Kiribati,KIR,GDP (current US$),46919624.64,1993
St. Kitts and Nevis,KNA,GDP (current US$),263755555.6,1993
"Korea, Rep.",KOR,GDP (current US$),3.93E+11,1993
Kuwait,KWT,GDP (current US$),23941391391,1993
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),1.45E+12,1993
Lao PDR,LAO,GDP (current US$),1327748655,1993
Lebanon,LBN,GDP (current US$),7941744492,1993
Liberia,LBR,GDP (current US$),,1993
Libya,LBY,GDP (current US$),30657030223,1993
St. Lucia,LCA,GDP (current US$),684814814.8,1993
Latin America & Caribbean,LCN,GDP (current US$),1.58E+12,1993
Least developed countries: UN classification,LDC,GDP (current US$),1.49E+11,1993
Low income,LIC,GDP (current US$),96626100077,1993
Liechtenstein,LIE,GDP (current US$),1673104494,1993
Sri Lanka,LKA,GDP (current US$),10338679636,1993
Lower middle income,LMC,GDP (current US$),8.12E+11,1993
Low & middle income,LMY,GDP (current US$),4.10E+12,1993
Lesotho,LSO,GDP (current US$),835592802.3,1993
Late-demographic dividend,LTE,GDP (current US$),2.17E+12,1993
Lithuania,LTU,GDP (current US$),,1993
Luxembourg,LUX,GDP (current US$),16486900653,1993
Latvia,LVA,GDP (current US$),,1993
"Macao SAR, China",MAC,GDP (current US$),5625533410,1993
St. Martin (French part),MAF,GDP (current US$),,1993
Morocco,MAR,GDP (current US$),31655473664,1993
Monaco,MCO,GDP (current US$),2574440023,1993
Moldova,MDA,GDP (current US$),,1993
Madagascar,MDG,GDP (current US$),4063298919,1993
Maldives,MDV,GDP (current US$),322326642.3,1993
Middle East & North Africa,MEA,GDP (current US$),6.08E+11,1993
Mexico,MEX,GDP (current US$),5.01E+11,1993
Marshall Islands,MHL,GDP (current US$),99461000,1993
Middle income,MIC,GDP (current US$),4.01E+12,1993
North Macedonia,MKD,GDP (current US$),2682456897,1993
Mali,MLI,GDP (current US$),2818280876,1993
Malta,MLT,GDP (current US$),2709178327,1993
Myanmar,MMR,GDP (current US$),,1993
Middle East & North Africa (excluding high income),MNA,GDP (current US$),2.92E+11,1993
Montenegro,MNE,GDP (current US$),,1993
Mongolia,MNG,GDP (current US$),768401634.2,1993
Northern Mariana Islands,MNP,GDP (current US$),,1993
Mozambique,MOZ,GDP (current US$),2676425527,1993
Mauritania,MRT,GDP (current US$),1847350612,1993
Mauritius,MUS,GDP (current US$),3263368410,1993
Malawi,MWI,GDP (current US$),2070636936,1993
Malaysia,MYS,GDP (current US$),66894837030,1993
North America,NAC,GDP (current US$),7.44E+12,1993
Namibia,NAM,GDP (current US$),3218475900,1993
New Caledonia,NCL,GDP (current US$),3070161471,1993
Niger,NER,GDP (current US$),2208546463,1993
Nigeria,NGA,GDP (current US$),27752204320,1993
Nicaragua,NIC,GDP (current US$),1756454248,1993
Netherlands,NLD,GDP (current US$),3.54E+11,1993
Norway,NOR,GDP (current US$),1.21E+11,1993
Nepal,NPL,GDP (current US$),3660041667,1993
Nauru,NRU,GDP (current US$),,1993
New Zealand,NZL,GDP (current US$),46775620817,1993
OECD members,OED,GDP (current US$),2.17E+13,1993
Oman,OMN,GDP (current US$),12493107932,1993
Other small states,OSS,GDP (current US$),58495739612,1993
Pakistan,PAK,GDP (current US$),51809949334,1993
Panama,PAN,GDP (current US$),8782585400,1993
Peru,PER,GDP (current US$),34832077221,1993
Philippines,PHL,GDP (current US$),54368083953,1993
Palau,PLW,GDP (current US$),,1993
Papua New Guinea,PNG,GDP (current US$),4974550286,1993
Poland,POL,GDP (current US$),96045645026,1993
Pre-demographic dividend,PRE,GDP (current US$),1.57E+11,1993
Puerto Rico,PRI,GDP (current US$),36922456000,1993
"Korea, Dem. People’s Rep.",PRK,GDP (current US$),,1993
Portugal,PRT,GDP (current US$),95009751901,1993
Paraguay,PRY,GDP (current US$),7249533620,1993
West Bank and Gaza,PSE,GDP (current US$),,1993
Pacific island small states,PSS,GDP (current US$),2896405721,1993
Post-demographic dividend,PST,GDP (current US$),2.09E+13,1993
French Polynesia,PYF,GDP (current US$),3694600400,1993
Qatar,QAT,GDP (current US$),7156593654,1993
Romania,ROU,GDP (current US$),26362894737,1993
Russian Federation,RUS,GDP (current US$),4.35E+11,1993
Rwanda,RWA,GDP (current US$),1971525999,1993
South Asia,SAS,GDP (current US$),3.81E+11,1993
Saudi Arabia,SAU,GDP (current US$),1.33E+11,1993
Sudan,SDN,GDP (current US$),8881785938,1993
Senegal,SEN,GDP (current US$),7189226453,1993
Singapore,SGP,GDP (current US$),60603478153,1993
Solomon Islands,SLB,GDP (current US$),291118988.6,1993
Sierra Leone,SLE,GDP (current US$),768812334.8,1993
El Salvador,SLV,GDP (current US$),6680269200,1993
San Marino,SMR,GDP (current US$),,1993
Somalia,SOM,GDP (current US$),,1993
Serbia,SRB,GDP (current US$),,1993
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),3.13E+11,1993
South Sudan,SSD,GDP (current US$),,1993
Sub-Saharan Africa,SSF,GDP (current US$),3.17E+11,1993
Small states,SST,GDP (current US$),80283348961,1993
Sao Tome and Principe,STP,GDP (current US$),,1993
Suriname,SUR,GDP (current US$),428764705.9,1993
Slovak Republic,SVK,GDP (current US$),16520676974,1993
Slovenia,SVN,GDP (current US$),13258920635,1993
Sweden,SWE,GDP (current US$),2.13E+11,1993
Eswatini,SWZ,GDP (current US$),1357206996,1993
Sint Maarten (Dutch part),SXM,GDP (current US$),,1993
Seychelles,SYC,GDP (current US$),473916819.5,1993
Syrian Arab Republic,SYR,GDP (current US$),13695962019,1993
Turks and Caicos Islands,TCA,GDP (current US$),,1993
Chad,TCD,GDP (current US$),1463251055,1993
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),8.83E+11,1993
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),9.31E+11,1993
Togo,TGO,GDP (current US$),1233496846,1993
Thailand,THA,GDP (current US$),1.29E+11,1993
Tajikistan,TJK,GDP (current US$),1646693642,1993
Turkmenistan,TKM,GDP (current US$),3179225949,1993
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),1.50E+12,1993
Timor-Leste,TLS,GDP (current US$),,1993
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),2.89E+11,1993
Tonga,TON,GDP (current US$),138489884.4,1993
South Asia (IDA & IBRD),TSA,GDP (current US$),3.81E+11,1993
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),3.17E+11,1993
Trinidad and Tobago,TTO,GDP (current US$),4669488516,1993
Tunisia,TUN,GDP (current US$),14608946896,1993
Turkey,TUR,GDP (current US$),1.80E+11,1993
Tuvalu,TUV,GDP (current US$),9630762.954,1993
Tanzania,TZA,GDP (current US$),4257702197,1993
Uganda,UGA,GDP (current US$),3220439044,1993
Ukraine,UKR,GDP (current US$),65648559903,1993
Upper middle income,UMC,GDP (current US$),3.20E+12,1993
Uruguay,URY,GDP (current US$),15002106518,1993
United States,USA,GDP (current US$),6.86E+12,1993
